BdprotoID,LanguageName,Glottocode,Macro-Area,LanguageFamily,InventoryType,TimeDepthYBP,TimeDepth,Homeland,HomelandSource,MetadataNotes,BibtexKey,Contributor,Checked by
46,Proto-Ersuic,ersu1242,Eurasia,Tibeto-Burman,,,,,,,Yu2012,Eitan Grossman,
47,Proto-Kiranti,kira1253,Eurasia,Tibeto-Burman,,,,,,need to check Bickel et al 2015 for possible additional phonemes,Jacques2017,Eitan Grossman,
48,Proto-Central Chadic,,Africa,Afroasiatic,,,,,,,Gravina2016,Eitan Grossman,
49,Proto-Nilotic,nilo1247,Africa,Nilo-Saharan or Nilotic,,,,,,,Dimmendaal1988,Eitan Grossman,
50,Proto-Eastern Nilotic,east2418,Africa,Nilo-Saharan or Nilotic,,,,,,,"dimmendaal1988nilotic, Vossen 1982",Eitan Grossman,
51,Proto-Southern Nilotic,sout2830,Africa,Nilo-Saharan or Nilotic,,,,,,,"dimmendaal1988nilotic, Rottland 1982",Eitan Grossman,
52,Proto-Kuki-Chin,kuki1246,Eurasia,Tibeto-Burman,,,,,,,hill2014kukichin,Eitan Grossman,
53,Proto-Eskimo,eski1265,Eurasia,Eskimo-Aleut,,4000,,Alaska,,Time-depth according to Campbell 1997,Berge2018,Eitan Grossman,
54,Proto-Unangam Tunuu (Aleut),aleu1260,Eurasia,Eskimo-Aleut,,4000,,Alaska,,make sure that this is equivalent to Proto-ALeut,Berge2018,Eitan Grossman,
55,Proto-Tupi-Guarani,tupi1276,South America,Tupian,,,,,,,MeiraDrude2015,Eitan Grossman,
56,Proto-Maweti-Guarani,mawe1252,South America,Tupian,,,,,,,MeiraDrude2015,Eitan Grossman,
57,Proto-Jabuti,jabu1249,South America,Nuclear Macro-Je,,,,,,,RibeiroVandervoort2010,Eitan Grossman,
58,Proto-Je,nucl1710,South America,Nuclear Macro-Je,,,,,,,RibeiroVandervoort2010,Eitan Grossman,
59,Proto-Maiduan,maid1262,North America,Maiduan,,,,,,,"Ultan1964, Campbell1997:128",Eitan Grossman,
60,Proto-Mamore-Guapore,,South America,Arawakan,,,,,,,Jolkesky2016,Eitan Grossman,
61,Proto-Taranoan,tara1324,South America,Cariban,,,,,,,Meira1998,Eitan Grossman,Hanan
62,Proto-Totonacan,toto1251,North America,Totonacan or Totozoquean,,,,,,,BrownEtAl2011,Eitan Grossman,
