																														
	NUMClassement	APICodeEntier	APICode	SymboleAPI	Ajouter sous Excel	Champ1	Caracteristique	Theme	Type	CoordX	CoordY	NbTot	Selecte	Selecte1	CaractHex	Case 1	Case 2	Case 3	Case 4	Case 5	Case 6	Case 7	Case 8	Case 9	Case 10	Case 11	Case 12	Case 13	Case 14	Case 15
	152	162	4)_	â»	â»	raised-low back rounded peripheral vowel	raidlo back rounded perif vowel		1	28		1	FALSE	FALSE	00E200BB										raidlo		back	rounded	perif	vowel
	153	303	a+	aº	aº	low front unrounded peripheral vowel	low front unrnd perif vowel		1	29		26	FALSE	FALSE	006100BA										low		front	unrnd	perif	vowel
	154	304	a+:	aº►	aº►	long low front unrounded peripheral vowel	long low front unrnd perif vowel		2	29		5	FALSE	FALSE	006100BA25BA					long					low		front	unrnd	perif	vowel
	155	307	a+~	a†º	a†º	nasalized low front unrounded peripheral vowel	naszd low front unrnd perif vowel		2	29		5	FALSE	FALSE	0061202000BA			naszd							low		front	unrnd	perif	vowel
	156	301	a	a	a	low central peripheral unrounded vowel	low central unrnd perif vowel		1	31		392	FALSE	FALSE	0061										low		central	unrnd	perif	vowel
	157	302	a*	a·	a·	creaky-voiced low central unrounded peripheral vowel	creaky low central unrnd perif vowel		2	31		4	FALSE	FALSE	00610387							creaky			low		central	unrnd	perif	vowel
	158	308	a.	a²	a²	retroflexed low central unrounded peripheral vowel	retrfld low central unrnd perif vowel		2	31		1	FALSE	FALSE	006100B2				retrfld						low		central	unrnd	perif	vowel
	159	309	a9	aſ	aſ	pharyngealized low central unrounded peripheral vowel	pharzd low central unrnd perif vowel		2	31		3	FALSE	FALSE	0061017F				pharzd						low		central	unrnd	perif	vowel
	160	310	a9:	aſ►	aſ►	long pharyngealized low central unrounded peripheral vowel	long pharzd low central unrnd perif vowel		2	31		2	FALSE	FALSE	0061017F25BA				pharzd	long					low		central	unrnd	perif	vowel
	161	311	a9~	a†ſ	a†ſ	nasalized pharyngealized low central unrounded peripheral vowel	naszd pharzd low central unrnd perif vowel		2	31		1	FALSE	FALSE	00612020017F			naszd	pharzd						low		central	unrnd	perif	vowel
	162	312	a9~:	a†ſ►	a†ſ►	long nasalized pharyngealized low central unrounded peripheral vowel	long naszd pharzd low central unrnd perif vowel		2	31		1	FALSE	FALSE	00612020017F25BA			naszd	pharzd	long					low		central	unrnd	perif	vowel
	163	313	a:	a►	a►	long low central unrounded peripheral vowel	long low central unrnd perif vowel		2	31		34	FALSE	FALSE	006125BA					long					low		central	unrnd	perif	vowel
	164	315	aS	a˘	a˘	overshort low central unrounded peripheral vowel	ovrshort low central unrnd perif vowel		2	31		3	FALSE	FALSE	006102D8					ovrshort					low		central	unrnd	perif	vowel
	165	335	ah	a΄	a΄	breathy-voiced low central unrounded peripheral vowel	breathy low central unrnd perif vowel		2	31		5	FALSE	FALSE	00610384							breathy			low		central	unrnd	perif	vowel
	166	347	a~	a†	a†	nasalized low central unrounded peripheral vowel	naszd low central unrnd perif vowel		2	31		83	FALSE	FALSE	00612020			naszd							low		central	unrnd	perif	vowel
	167	348	a~*	a†·	a†·	creaky-voiced nasalized low central unrounded peripheral vowel	creaky naszd low central unrnd perif vowel		2	31		1	FALSE	FALSE	006120200387			naszd				creaky			low		central	unrnd	perif	vowel
	168	349	a~:	a†►	a†►	long nasalized low central unrounded peripheral vowel	long naszd low central unrnd perif vowel		2	31		7	FALSE	FALSE	0061202025BA			naszd		long					low		central	unrnd	perif	vowel
	169	485	ha	a°	a°	voiceless low central unrounded peripheral vowel	vl low central unrnd perif vowel		2	31		1	FALSE	FALSE	006100B0									vl	low		central	unrnd	perif	vowel
	170	947		a†¾	a†¾	nasalized ad-tg-root low central unrounded vowel	naszd atroot low central unrnd vowel		2	31			FALSE	FALSE	0061202000BE			naszd						atroot	low		central	unrnd		vowel
	171	951		a¾	a¾	ad-tg-root low central unrounded peripheral vowel	atroot low central unrnd perif vowel		2	31			FALSE	FALSE	006100BE									atroot	low		central	unrnd	perif	vowel
	172	316	a_	A	A	low back unrounded peripheral vowel	low back unrnd perif vowel		1	32		25	FALSE	FALSE	0041										low		back	unrnd	perif	vowel
	173	322	a_:	A►	A►	long low back unrounded peripheral vowel	long low back unrnd perif vowel		2	32		8	FALSE	FALSE	004125BA					long					low		back	unrnd	perif	vowel
	174	324	a_~	A†	A†	nasalized low back unrounded peripheral vowel	naszd low back unrnd perif vowel		2	32		6	FALSE	FALSE	00412020			naszd							low		back	unrnd	perif	vowel
	175	325	a_~:	A†►	A†►	long nasalized low back unrounded peripheral vowel	long naszd low back unrnd perif vowel		2	32		2	FALSE	FALSE	0041202025BA			naszd		long					low		back	unrnd	perif	vowel
	176	317	a_)	â	â	low back rounded peripheral vowel	low back rounded perif vowel		1	33		19	FALSE	FALSE	00E2										low		back	rounded	perif	vowel
	177	318	a_):	â►	â►	long low back rounded peripheral vowel	long low back rounded perif vowel		2	33		1	FALSE	FALSE	00E225BA					long					low		back	rounded	perif	vowel
	178	319	a_)S	â˘	â˘	overshort low back rounded peripheral vowel	ovrshort low back rounded perif vowel		2	33		1	FALSE	FALSE	00E202D8					ovrshort					low		back	rounded	perif	vowel
	179	320	a_)h	â΄	â΄	breathy-voiced low back rounded peripheral vowel	breathy low back rounded perif vowel		2	33		1	FALSE	FALSE	00E20384							breathy			low		back	rounded	perif	vowel
	180	321	a_)~	â†	â†	nasalized low back rounded peripheral vowel	naszd low back rounded perif vowel		2	33		3	FALSE	FALSE	00E22020			naszd							low		back	rounded	perif	vowel
	181	953		aw	aw	low central unrounded to labial-velar approximant diphtong	low central unrnd tlva diph						FALSE	FALSE	00610077										low		central	unrnd	tlva	diph
	182	952		aj	aj	low central unrounded to palatal approximant diphtong	low central unrnd tpa diph						FALSE	FALSE	0061006A										low		central	unrnd	tpa	diph
	183	564	iu	iu	iu	high front unrounded to high back rounded diphthong	high front unrnd thbr diph					2	FALSE	FALSE	00690075										high		front	unrnd	thbr	diph
	184	565	iuh	i΄u΄	i΄u΄	breathy-voiced high front unrounded to high back rounded diphthong	breathy high front unrnd thbr diph					1	FALSE	FALSE	0069038400750384							breathy			high		front	unrnd	thbr	diph
	185	560	ie	ie	ie	high front unrounded to higher-mid front unrounded diphthong	high front unrnd thmfu diph					6	FALSE	FALSE	00690065										high		front	unrnd	thmfu	diph
	186	561	ie~	i†e†	i†e†	nasalized high front unrounded to higher-mid front unrounded diphthong	naszd high front unrnd thmfu diph					1	FALSE	FALSE	0069202000652020			naszd							high		front	unrnd	thmfu	diph
	187	563	io	io	io	high front unrounded to higher-mid back rounded diphthong	high front unrnd thmbro diph					1	FALSE	FALSE	0069006F										high		front	unrnd	thmbro	diph
	188	540	i@	i∂	i∂	high front unrounded to mid central unrounded diphthong	high front unrnd tmcu diph					4	FALSE	FALSE	00692202										high		front	unrnd	tmcu	diph
	189	541	i@h	i΄∂΄	i΄∂΄	breathy-voiced high front unrounded to mid central unrounded diphthong	breathy high front unrnd tmcu diph					1	FALSE	FALSE	0069038422020384							breathy			high		front	unrnd	tmcu	diph
	190	542	iE!	iè	iè	high front unrounded to lower-mid front unrounded diphthong	high front unrnd tlmfu diph					1	FALSE	FALSE	006900E8										high		front	unrnd	tlmfu	diph
	191	543	iEh	i΄è΄	i΄è΄	breathy-voiced high front unrounded to lower-mid front unrounded diphthong	breathy high front unrnd tlmfu diph					1	FALSE	FALSE	0069038400E80384							breathy			high		front	unrnd	tlmfu	diph
	192	546	i^	iΔ	iΔ	high front unrounded to lower-mid back unrounded diphthong	high front unrnd tlmbu diph					1	FALSE	FALSE	00690394										high		front	unrnd	tlmbu	diph
	193	558	ia+	iaº	iaº	high front unrounded to low front unrounded diphthong	high front unrnd tlfu diph					1	FALSE	FALSE	0069006100BA										high		front	unrnd	tlfu	diph
	194	557	ia	ia	ia	high front unrounded to low central unrounded diphthong	high front unrnd tlcu diph					5	FALSE	FALSE	00690061										high		front	unrnd	tlcu	diph
	195	559	iah	i΄a΄	i΄a΄	breathy-voiced high front unrounded to low central unrounded diphthong	breathy high front unrnd tlcu diph					1	FALSE	FALSE	0069038400610384							breathy			high		front	unrnd	tlcu	diph
	196	907	yo/	yǿ	yǿ	high front rounded to higher-mid front rounded diphthong	high front rounded thmfr diph					1	FALSE	FALSE	007901FF										high		front	rounded	thmfr	diph
	197	553	i_i	ïi	ïi	high central unrounded to high front unrounded diphthong	high central unrnd thfu diph					2	FALSE	FALSE	00EF0069										high		central	unrnd	thfu	diph
	198	554	i_i~	ï†i†	ï†i†	nasalized high central unrounded to high front unrounded diphthong	naszd high central unrnd thfu diph					1	FALSE	FALSE	00EF202000692020			naszd							high		central	unrnd	thfu	diph
	199	965		ïe	ïe	high central unrounded to higher-mid front unrounded diphtong	high central unrnd thmfu diph						FALSE	FALSE	00EF0065										high		central	unrnd	thmfu	diph
	200	550	i_@	ï∂	ï∂	high central unrounded to mid central unrounded diphthong	high central unrnd tmcu diph					1	FALSE	FALSE	00EF2202										high		central	unrnd	tmcu	diph
	201	552	i_a	ïa	ïa	high central unrounded to low central unrounded diphthong	high central unrnd tlcu diph					1	FALSE	FALSE	00EF0061										high		central	unrnd	tlcu	diph
	202	883	uui	Ūi	Ūi	high back unrounded to high front unrounded diphthong	high back unrnd thfu diph					2	FALSE	FALSE	016A0069										high		back	unrnd	thfu	diph
	203	884	uuih	Ū΄i΄	Ū΄i΄	breathy-voiced high back unrounded to high front unrounded diphthong	breathy high back unrnd thfu diph					1	FALSE	FALSE	016A038400690384							breathy			high		back	unrnd	thfu	diph
	204	877	uu@	Ū∂	Ū∂	high back unrounded to mid central unrounded diphthong	high back unrnd tmcu diph					2	FALSE	FALSE	016A2202										high		back	unrnd	tmcu	diph
	205	878	uu@h	Ū΄∂΄	Ū΄∂΄	breathy-voiced high back unrounded to mid central unrounded diphthong	breathy high back unrnd tmcu diph					1	FALSE	FALSE	016A038422020384							breathy			high		back	unrnd	tmcu	diph
	206	880	uu^	ŪΔ	ŪΔ	high back unrounded to lower-mid back unrounded diphthong	high back unrnd tlmbu diph					1	FALSE	FALSE	016A0394										high		back	unrnd	tlmbu	diph
	207	881	uua	Ūa	Ūa	high back unrounded to low central unrounded diphthong	high back unrnd tlcu diph					2	FALSE	FALSE	016A0061										high		back	unrnd	tlcu	diph
	208	871	ui	ui	ui	high back rounded to high front unrounded diphthong	high back rounded thfu diph					8	FALSE	FALSE	00750069										high		back	rounded	thfu	diph
	209	872	uih	u΄i΄	u΄i΄	breathy-voiced high back rounded to high front unrounded diphthong	breathy high back rounded thfu diph					1	FALSE	FALSE	0075038400690384							breathy			high		back	rounded	thfu	diph
	210	873	ui~	u†i†	u†i†	nasalized high back rounded to high front unrounded diphthong	naszd high back rounded thfu diph					2	FALSE	FALSE	0075202000692020			naszd							high		back	rounded	thfu	diph
	211	874	uo	uo	uo	high back rounded to higher-mid back rounded diphthong	high back rounded thmbro diph					4	FALSE	FALSE	0075006F										high		back	rounded	thmbro	diph
	212	863	u@	u∂	u∂	high back rounded to mid central unrounded diphthong	high back rounded tmcu diph					5	FALSE	FALSE	00752202										high		back	rounded	tmcu	diph
	213	864	u@h	u΄∂΄	u΄∂΄	breathy-voiced high back rounded to mid central unrounded diphthong	breathy high back rounded tmcu diph					1	FALSE	FALSE	0075038422020384							breathy			high		back	rounded	tmcu	diph
	214	867	u^	uΔ	uΔ	high back rounded to lower-mid back unrounded diphthong	high back rounded tlmbu diph					1	FALSE	FALSE	00750394										high		back	rounded	tlmbu	diph
	215	995		uO	uO	high back rounded to lower-mid back rounded diphtong	high back rounded ltmbr diph						FALSE	FALSE	0075004F										high		back	rounded	ltmbr	diph
	216	868	ua	ua	ua	high back rounded to low central unrounded diphthong	high back rounded tlcu diph					3	FALSE	FALSE	00750061										high		back	rounded	tlcu	diph
	217	869	uah	u΄a΄	u΄a΄	breathy-voiced high back rounded to low central unrounded diphthong	breathy high back rounded tlcu diph					1	FALSE	FALSE	0075038400610384							breathy			high		back	rounded	tlcu	diph
	218	220	I!e	Ie	Ie	lowered-high front unrounded to higher-mid front unrounded diphthong	lordhig front unrnd thmfu diph					1	FALSE	FALSE	00490065										lordhig		front	unrnd	thmfu	diph
	219	279	U!i	Ωi	Ωi	lowered-high back rounded to high front unrounded diphthong	lordhig back rounded thfu diph					1	FALSE	FALSE	03A90069										lordhig		back	rounded	thfu	diph
	220	427	ei	ei	ei	higher-mid front unrounded to high front unrounded diphthong	himid front unrnd thfu diph					7	FALSE	FALSE	00650069										himid		front	unrnd	thfu	diph
	221	428	ei~	e†i†	e†i†	nasalized higher-mid front unrounded to high front unrounded diphthong	naszd himid front unrnd thfu diph					2	FALSE	FALSE	0065202000692020			naszd							himid		front	unrnd	thfu	diph
	222	430	eu	eu	eu	higher-mid front unrounded to high back rounded diphthong	himid front unrnd thbr diph					3	FALSE	FALSE	00650075										himid		front	unrnd	thbr	diph
	223	431	eu~	e†u†	e†u†	nasalized higher-mid front unrounded to high back rounded diphthong	naszd himid front unrnd thbr diph					1	FALSE	FALSE	0065202000752020			naszd							himid		front	unrnd	thbr	diph
	224	423	e@	e∂	e∂	higher-mid front unrounded to mid central unrounded diphthong	himid front unrnd tmcu diph					1	FALSE	FALSE	00652202										himid		front	unrnd	tmcu	diph
	225	429	eo	eo	eo	higher-mid front unrounded to higher-mid back rounded diphthong	himid front unrnd thmbro diph					3	FALSE	FALSE	0065006F										himid		front	unrnd	thmbro	diph
	226	425	ea	ea	ea	higher-mid front unrounded to low central unrounded diphthong	himid front unrnd tlcu diph					1	FALSE	FALSE	00650061										himid		front	unrnd	tlcu	diph
	227	705	o/y	ǿy	ǿy	higher-mid front rounded to high front rounded diphthong	himid front rounded thfr diph					1	FALSE	FALSE	01FF0079										himid		front	rounded	thfr	diph
	228	181	@i	∂i	∂i	mid central unrounded to high front unrounded diphthong	md central unrnd thfu diph					2	FALSE	FALSE	22020069										md		central	unrnd	thfu	diph
	229	183	@uu	∂Ū	∂Ū	mid central unrounded to high back unrounded diphthong	md central unrnd thbu diph					1	FALSE	FALSE	2202016A										md		central	unrnd	thbu	diph
	230	182	@u	∂u	∂u	mid central unrounded to high back rounded diphthong	md central unrnd thbr diph					4	FALSE	FALSE	22020075										md		central	unrnd	thbr	diph
	231	937		∂è	∂è	mid central unrounded to lower-mid front unrounded diphtong	md central unrnd tlmfu diph						FALSE	FALSE	220200E8										md		central	unrnd	tlmfu	diph
	232	697	o(i	ģi	ģi	higher-mid back unrounded to high front unrounded diphthong	himid back unrnd thfu diph					1	FALSE	FALSE	01230069										himid		back	unrnd	thfu	diph
	233	698	o(ih	ģ΄i΄	ģ΄i΄	breathy-voiced higher-mid back unrounded to high front unrounded diphthong	breathy himid back unrnd thfu diph					1	FALSE	FALSE	0123038400690384							breathy			himid		back	unrnd	thfu	diph
	234	714	oi	oi	oi	higher-mid back rounded to high front unrounded diphthong	himid back rounded thfu diph					6	FALSE	FALSE	006F0069										himid		back	rounded	thfu	diph
	235	715	oi9	oiſ	oiſ	pharyngealized higher-mid back rounded to high front unrounded diphthong	pharzd himid back rounded thfu diph					1	FALSE	FALSE	006F0069017F				pharzd						himid		back	rounded	thfu	diph
	236	717	oih	o΄i΄	o΄i΄	breathy-voiced higher-mid back rounded to high front unrounded diphthong	breathy himid back rounded thfu diph					1	FALSE	FALSE	006F038400690384							breathy			himid		back	rounded	thfu	diph
	237	718	oi~	o†i†	o†i†	nasalized higher-mid back rounded to high front unrounded diphthong	naszd himid back rounded thfu diph					2	FALSE	FALSE	006F202000692020			naszd							himid		back	rounded	thfu	diph
	238	716	oi9~	o†i†ſ	o†i†ſ	nasalized pharyngealized higher-mid back rounded to high front unrounded diphthong	naszd pharzd himid back rounded thfu diph					1	FALSE	FALSE	006F202000692020017F			naszd	pharzd						himid		back	rounded	thfu	diph
	239	719	ou	ou	ou	higher-mid back rounded to high back rounded diphthong	himid back rounded thbr diph					5	FALSE	FALSE	006F0075										himid		back	rounded	thbr	diph
	240	720	ou~	o†u†	o†u†	nasalized higher-mid back rounded to high back rounded diphthong	naszd himid back rounded thbr diph					1	FALSE	FALSE	006F202000752020			naszd							himid		back	rounded	thbr	diph
	241	712	oe	oe	oe	higher-mid back rounded to higher-mid front unrounded diphthong	himid back rounded thmfu diph					1	FALSE	FALSE	006F0065										himid		back	rounded	thmfu	diph
	242	708	oa	oa	oa	higher-mid back rounded to low central unrounded diphthong	himid back rounded tlcu diph					2	FALSE	FALSE	006F0061										himid		back	rounded	tlcu	diph
	243	709	oa9	oaſ	oaſ	pharyngealized higher-mid back rounded to low central unrounded diphthong	pharzd himid back rounded tlcu diph					1	FALSE	FALSE	006F0061017F				pharzd						himid		back	rounded	tlcu	diph
	244	711	oa~	o†a†	o†a†	nasalized higher-mid back rounded to low central unrounded diphthong	naszd himid back rounded tlcu diph					1	FALSE	FALSE	006F202000612020			naszd							himid		back	rounded	tlcu	diph
	245	710	oa9~	o†a†ſ	o†a†ſ	nasalized pharyngealized higher-mid back rounded to low central unrounded diphthong	naszd pharzd himid back rounded tlcu diph					1	FALSE	FALSE	006F202000612020017F			naszd	pharzd						himid		back	rounded	tlcu	diph
	246	200	E!i	èi	èi	lower-mid front unrounded to high front unrounded diphthong	lomid front unrnd thfu diph					3	FALSE	FALSE	00E80069										lomid		front	unrnd	thfu	diph
	247	208	Euu	èŪ	èŪ	lower-mid front unrounded to high back unrounded diphthong	lomid front unrnd thbu diph					1	FALSE	FALSE	00E8016A										lomid		front	unrnd	thbu	diph
	248	201	E!o	èo	èo	lower-mid front unrounded to higher-mid back rounded diphthong	lomid front unrnd thmbro diph					1	FALSE	FALSE	00E8006F										lomid		front	unrnd	thmbro	diph
	249	206	EO~	è†O†	è†O†	nasalized lower-mid front unrounded to lower-mid back rounded diphthong	naszd lomid front unrnd ltmbr diph					1	FALSE	FALSE	00E82020004F2020			naszd							lomid		front	unrnd	ltmbr	diph
	250	158	3i	Эi	Эi	lower-mid central unrounded to high front unrounded diphthong	lomid central unrnd thfu diph					1	FALSE	FALSE	042D0069										lomid		central	unrnd	thfu	diph
	251	244	O!i	Oi	Oi	lower-mid back rounded to high front unrounded diphthong	lomid back rounded thfu diph					6	FALSE	FALSE	004F0069										lomid		back	rounded	thfu	diph
	252	245	O!ih	O΄i΄	O΄i΄	breathy-voiced lower-mid back rounded to high front unrounded diphthong	breathy lomid back rounded thfu diph					1	FALSE	FALSE	004F038400690384							breathy			lomid		back	rounded	thfu	diph
	253	246	O!i~	O†i†	O†i†	nasalized lower-mid back rounded to high front unrounded diphthong	naszd lomid back rounded thfu diph					2	FALSE	FALSE	004F202000692020			naszd							lomid		back	rounded	thfu	diph
	254	251	Oy	Oy	Oy	lower-mid back rounded to high front rounded diphthong	lomid back rounded thfr diph					1	FALSE	FALSE	004F0079										lomid		back	rounded	thfr	diph
	255	329	aai	æi	æi	raised-low front unrounded to high front unrounded diphthong	raidlo front unrnd thfu diph					2	FALSE	FALSE	00E60069										raidlo		front	unrnd	thfu	diph
	256	330	aau+	æU	æU	raised-low front unrounded to high central rounded diphthong	raidlo front unrnd thcr diph					1	FALSE	FALSE	00E60055										raidlo		front	unrnd	thcr	diph
	257	305	a+i	aºi	aºi	low front unrounded to high front unrounded diphthong	low front unrnd thfu diph					1	FALSE	FALSE	006100BA0069										low		front	unrnd	thfu	diph
	258	306	a+i~	aº†i†	aº†i†	nasalized low front unrounded to high front unrounded diphthong	naszd low front unrnd thfu diph					1	FALSE	FALSE	006100BA202000692020			naszd							low		front	unrnd	thfu	diph
	259	336	ai	ai	ai	low central unrounded to high front unrounded diphthong	low central unrnd thfu diph					19	FALSE	FALSE	00610069										low		central	unrnd	thfu	diph
	260	338	aih	a΄i΄	a΄i΄	breathy-voiced low central unrounded to high front unrounded diphthong	breathy low central unrnd thfu diph					1	FALSE	FALSE	0061038400690384							breathy			low		central	unrnd	thfu	diph
	261	339	ai~	a†i†	a†i†	nasalized low central unrounded to high front unrounded diphthong	naszd low central unrnd thfu diph					1	FALSE	FALSE	0061202000692020			naszd							low		central	unrnd	thfu	diph
	262	949		a►i	a►i	long low central unrounded to high front unrounded diphtong	long low central unrnd thfu diph						FALSE	FALSE	006125BA0069					long					low		central	unrnd	thfu	diph
	263	337	ai_	aï	aï	low central unrounded to high central unrounded diphthong	low central unrnd thcu diph					2	FALSE	FALSE	006100EF										low		central	unrnd	thcu	diph
	264	345	auu	aŪ	aŪ	low central unrounded to high back unrounded diphthong	low central unrnd thbu diph					3	FALSE	FALSE	0061016A										low		central	unrnd	thbu	diph
	265	346	auuh	a΄Ū΄	a΄Ū΄	breathy-voiced low central unrounded to high back unrounded diphthong	breathy low central unrnd thbu diph					1	FALSE	FALSE	00610384016A0384							breathy			low		central	unrnd	thbu	diph
	266	343	au	au	au	low central unrounded to high back rounded diphthong	low central unrnd thbr diph					18	FALSE	FALSE	00610075										low		central	unrnd	thbr	diph
	267	344	auh	a΄u΄	a΄u΄	breathy-voiced low central unrounded to high back rounded diphthong	breathy low central unrnd thbr diph					1	FALSE	FALSE	0061038400750384							breathy			low		central	unrnd	thbr	diph
	268	950		a►u	a►u	long low central unrounded to high back rounded diphtong	long low central unrnd thbr diph						FALSE	FALSE	006125BA0075					long					low		central	unrnd	thbr	diph
	269	332	ae	ae	ae	low central unrounded to higher-mid front unrounded diphthong	low central unrnd thmfu diph					3	FALSE	FALSE	00610065										low		central	unrnd	thmfu	diph
	270	333	ae9	aeſ	aeſ	pharyngealized low central unrounded to higher-mid front unrounded diphthong	pharzd low central unrnd thmfu diph					1	FALSE	FALSE	00610065017F				pharzd						low		central	unrnd	thmfu	diph
	271	334	ae9~	a†e†ſ	a†e†ſ	nasalized pharyngealized low central unrounded to higher-mid front unrounded diphthong	naszd pharzd low central unrnd thmfu diph					1	FALSE	FALSE	0061202000652020017F			naszd	pharzd						low		central	unrnd	thmfu	diph
	272	340	ao	ao	ao	low central unrounded to higher-mid back rounded diphthong	low central unrnd thmbro diph					4	FALSE	FALSE	0061006F										low		central	unrnd	thmbro	diph
	273	341	ao9	aoſ	aoſ	pharyngealized low central unrounded to higher-mid back rounded diphthong	pharzd low central unrnd thmbro diph					1	FALSE	FALSE	0061006F017F				pharzd						low		central	unrnd	thmbro	diph
	274	342	ao9~	a†o†ſ	a†o†ſ	nasalized pharyngealized low central unrounded to higher-mid back rounded diphthong	naszd pharzd low central unrnd thmbro diph					1	FALSE	FALSE	00612020006F2020017F			naszd	pharzd						low		central	unrnd	thmbro	diph
	275	314	aE!	aè	aè	low central unrounded to lower-mid front unrounded diphthong	low central unrnd tlmfu diph					1	FALSE	FALSE	006100E8										low		central	unrnd	tlmfu	diph
	276	323	a_O~	A†O†	A†O†	nasalized low back unrounded to lower-mid back rounded diphthong	naszd low back unrnd ltmbr diph					1	FALSE	FALSE	00412020004F2020			naszd							low		back	unrnd	ltmbr	diph
	277	736	phh	pĤ	pĤ	voiceless bilabial stop with-breathy-release	vl bilabial stp wbr					2	FALSE	FALSE	00700124									vl	bilabial				stp	wbr
	278	525	hp	ĥp	ĥp	voiceless preaspirated bilabial stop	vl preasp bilabial stp					1	FALSE	FALSE	01250070								preasp	vl	bilabial				stp	
	279	634	mp	mp	mp	prenasalized voiceless bilabial stop	prenazad vl bilabial stp					6	FALSE	FALSE	006D0070								prenazad	vl	bilabial				stp	
	280	635	mph	mpĥ	mpĥ	prenasalized voiceless aspirated bilabial stop	prenazad vl aspirate bilabial stp					2	FALSE	FALSE	006D00700125							aspirate	prenazad	vl	bilabial				stp	
	281	723	p	p	p	voiceless bilabial stop	vl bilabial stp		4	0	0101	375	FALSE	FALSE	0070									vl	bilabial				stp	
	282	724	p'	p'	p'	voiceless bilabial ejective stop	vl bilabial ejective stp					44	FALSE	FALSE	00700027									vl	bilabial		ejective		stp	
	283	725	p*	p·	p·	creaky-voiced voiceless bilabial stop	creaky vl bilabial stp					5	FALSE	FALSE	00700387							creaky		vl	bilabial				stp	
	284	726	p:	p►	p►	long voiceless bilabial stop	long vl bilabial stp					3	FALSE	FALSE	007025BA					long				vl	bilabial				stp	
	285	728	pJ	pĵ	pĵ	palatalized voiceless bilabial stop	palzd vl bilabial stp					13	FALSE	FALSE	00700135				palzd					vl	bilabial				stp	
	286	729	pJh	pĵĥ	pĵĥ	palatalized voiceless aspirated bilabial stop	palzd vl aspirate bilabial stp					3	FALSE	FALSE	007001350125				palzd			aspirate		vl	bilabial				stp	
	287	730	pW	pŵ	pŵ	labialized voiceless bilabial stop	labzd vl bilabial stp					4	FALSE	FALSE	00700175			labzd						vl	bilabial				stp	
	288	731	pW-h	pĝŵĥ	pĝŵĥ	labialized velarized voiceless aspirated bilabial stop	labzd velzd vl aspirate bilabial stp					1	FALSE	FALSE	0070011D01750125			labzd	velzd			aspirate		vl	bilabial				stp	
	289	735	ph	pĥ	pĥ	voiceless aspirated bilabial stop	vl aspirate bilabial stp					101	FALSE	FALSE	00700125							aspirate		vl	bilabial				stp	
	290	987		p►ŵ	p►ŵ	long labialized voiceless bilabial stop	long labzd vl bilabial stp						FALSE	FALSE	007025BA0175			labzd		long				vl	bilabial				stp	
	291	350	b	b	b	voiced bilabial stop	vd bilabial stp		4	1	0102	287	FALSE	FALSE	0062									vd	bilabial				stp	
	292	351	b'	b'	b'	voiced bilabial ejective stop	vd bilabial ejective stp					1	FALSE	FALSE	00620027									vd	bilabial		ejective		stp	
	293	352	b*	b·	b·	creaky-voiced voiced bilabial stop	creaky vd bilabial stp					15	FALSE	FALSE	00620387							creaky		vd	bilabial				stp	
	294	353	b:	b►	b►	long voiced bilabial stop	long vd bilabial stp					1	FALSE	FALSE	006225BA					long				vd	bilabial				stp	
	295	356	bJ	bĵ	bĵ	palatalized voiced bilabial stop	palzd vd bilabial stp					8	FALSE	FALSE	00620135				palzd					vd	bilabial				stp	
	296	359	bW	bŵ	bŵ	labialized voiced bilabial stop	labzd vd bilabial stp					1	FALSE	FALSE	00620175			labzd						vd	bilabial				stp	
	297	360	bW-	bĝŵ	bĝŵ	labialized velarized voiced bilabial stop	labzd velzd vd bilabial stp					1	FALSE	FALSE	0062011D0175			labzd	velzd					vd	bilabial				stp	
	298	362	bm	bņ	bņ	nasal-release voiced bilabial stop	nasrel vd bilabial stp					1	FALSE	FALSE	00620146						nasrel			vd	bilabial				stp	
	299	630	mb	mb	mb	prenasalized voiced bilabial stop	prenazad vd bilabial stp					48	FALSE	FALSE	006D0062								prenazad	vd	bilabial				stp	
	300	631	mbJ	mbĵ	mbĵ	prenasalized palatalized voiced bilabial stop	prenazad palzd vd bilabial stp					1	FALSE	FALSE	006D00620135				palzd				prenazad	vd	bilabial				stp	
	301	632	mbW	mbŵ	mbŵ	prenasalized labialized voiced bilabial stop	prenazad labzd vd bilabial stp					2	FALSE	FALSE	006D00620175			labzd					prenazad	vd	bilabial				stp	
	302	926		?b	?b	preglottalized voiced bilabial stop	pglot vd bilabial stp						FALSE	FALSE	003F0062								pglot	vd	bilabial				stp	
	303	954		bĥ	bĥ	aspirated voiced bilabial stop	aspirate vd bilabial stp						FALSE	FALSE	00620125							aspirate		vd	bilabial				stp	
	304	358	bJh	b΄ĵ	b΄ĵ	palatalized breathy-voiced bilabial stop	palzd breathy bilabial stp					1	FALSE	FALSE	006203840135				palzd			breathy			bilabial				stp	
	305	361	bh	b΄	b΄	breathy-voiced bilabial stop	breathy bilabial stp					9	FALSE	FALSE	00620384							breathy			bilabial				stp	
	306	924		Ф	Ф	voiceless labiodental stop	vl labdent stp		4	2	0103		FALSE	FALSE	0424									vl	labdent				stp	
	307	355	bD	ф	ф	voiced labiodental stop	vd labdent stp		4	3	0104	1	FALSE	FALSE	0444									vd	labdent				stp	
