																														
	NUMClassement	APICodeEntier	APICode	SymboleAPI	Ajouter sous Excel	Champ1	Caracteristique	Theme	Type	CoordX	CoordY	NbTot	Selecte	Selecte1	CaractHex	Case 1	Case 2	Case 3	Case 4	Case 5	Case 6	Case 7	Case 8	Case 9	Case 10	Case 11	Case 12	Case 13	Case 14	Case 15
	28	857	u+	U	U	high central rounded vowel	high central rounded vowel		1	3		6	FALSE	FALSE	0055										high		central	rounded		vowel
	29	858	u+:	U►	U►	long high central rounded vowel	long high central rounded vowel		2	3		1	FALSE	FALSE	005525BA					long					high		central	rounded		vowel
	30	859	u+S	U˘	U˘	overshort high central rounded vowel	ovrshort high central rounded vowel		2	3		1	FALSE	FALSE	005502D8					ovrshort					high		central	rounded		vowel
	31	875	uu	Ū	Ū	high back unrounded vowel	high back unrnd vowel		1	4		41	FALSE	FALSE	016A										high		back	unrnd		vowel
	32	876	uu:	Ū►	Ū►	long high back unrounded vowel	long high back unrnd vowel		2	4		1	FALSE	FALSE	016A25BA					long					high		back	unrnd		vowel
	33	879	uuF	Ū»	Ū»	raised high back unrounded lip-compressed vowel	raisd high back unrnd lipcomp vowel		2	4		2	FALSE	FALSE	016A00BB						raisd			lipcomp	high		back	unrnd		vowel
	34	882	uuh	Ū΄	Ū΄	breathy-voiced high back unrounded vowel	breathy high back unrnd vowel		2	4		3	FALSE	FALSE	016A0384							breathy			high		back	unrnd		vowel
	35	885	uu~	Ū†	Ū†	nasalized high back unrounded vowel	naszd high back unrnd vowel		2	4		7	FALSE	FALSE	016A2020			naszd							high		back	unrnd		vowel
	36	531	hu	u°	u°	voiceless high back rounded peripheral vowel	vl high back rounded perif vowel		2	5		3	FALSE	FALSE	007500B0									vl	high		back	rounded	perif	vowel
	37	855	u	u	u	high back rounded peripheral vowel	high back rounded perif vowel		1	5		369	FALSE	FALSE	0075										high		back	rounded	perif	vowel
	38	856	u*	u·	u·	creaky-voiced high back rounded peripheral vowel	creaky high back rounded perif vowel		2	5		3	FALSE	FALSE	00750387							creaky			high		back	rounded	perif	vowel
	39	860	u9	uſ	uſ	pharyngealized high back rounded peripheral vowel	pharzd high back rounded perif vowel		2	5		2	FALSE	FALSE	0075017F				pharzd						high		back	rounded	perif	vowel
	40	861	u9:	uſ►	uſ►	long pharyngealized high back rounded peripheral vowel	long pharzd high back rounded perif vowel		2	5		1	FALSE	FALSE	0075017F25BA				pharzd	long					high		back	rounded	perif	vowel
	41	862	u:	u►	u►	long high back rounded peripheral vowel	long high back rounded perif vowel		2	5		36	FALSE	FALSE	007525BA					long					high		back	rounded	perif	vowel
	42	865	uF	u»	u»	raised high back rounded peripheral vowel	raisd high back rounded perif vowel		2	5		1	FALSE	FALSE	007500BB						raisd				high		back	rounded	perif	vowel
	43	866	uS	u˘	u˘	overshort high back rounded peripheral vowel	ovrshort high back rounded perif vowel		2	5		2	FALSE	FALSE	007502D8					ovrshort					high		back	rounded	perif	vowel
	44	870	uh	u΄	u΄	breathy-voiced high back rounded peripheral vowel	breathy high back rounded perif vowel		2	5		5	FALSE	FALSE	00750384							breathy			high		back	rounded	perif	vowel
	45	886	u~	u†	u†	nasalized high back rounded peripheral vowel	naszd high back rounded perif vowel		2	5		74	FALSE	FALSE	00752020			naszd							high		back	rounded	perif	vowel
