								
	CodeStat	NomValeurStat	SelecteSup	SelecteInf	Selecte1Sup	Selecte1Inf		NomValeurStat Anglais
	3503	tap labial-palatal	0	0	0	0		
	3504	tap labial-velar	0	0	0	0		
	3505	tap dental	0	0	0	0		
	3506	tap alveolar	0	0	0	0		
	3507	tap postalveolar	0	0	0	0		
	3508	tap retroflex	0	0	0	0		
	3509	tap palatal	0	0	0	0		
	3510	tap velar	0	0	0	0		
	3511	tap velar-alveolar	0	0	0	0		
	3512	tap uvular	0	0	0	0		
	3513	tap pharyngeal	0	0	0	0		
	3514	tap epiglottal	0	0	0	0		
	3515	tap glottal	0	0	0	0		
	3516	tap laryngeal	0	0	0	0		
	3550	tap aspirated	0	0	0	0		
	3551	tap breathy-voiced	0	0	0	0		
	3552	tap creaky-voiced	0	0	0	0		
	3553	tap ejective	0	0	0	0		
	3554	tap glottalized	0	0	0	0		
	3555	tap labialized	0	0	0	0		
	3556	tap lateral-release	0	0	0	0		
	3557	tap long	0	0	0	0		
	3558	tap nasal-release	0	0	0	0		
	3559	tap palatalized	0	0	0	0		
	3560	tap pharyngealized	0	0	0	0		
	3561	tap preaspirated	0	0	0	0		
	3562	tap preglottalized	0	0	0	0		
	3563	tap prenasalized	0	0	0	0		
	3564	tap prestopped	0	0	0	0		
	3565	tap sibilant	0	0	0	0		
	3566	tap velar-fricated	0	0	0	0		
	3567	tap velarized	0	0	0	0		
	3568	tap voiced	0	0	0	0		
	3569	tap voiceless	0	0	0	0		
	3570	tap with-breathy-release	0	0	0	0		
	3600	flap	0	0	0	0		
	3601	flap bilabial	0	0	0	0		
	3602	flap labiodental	0	0	0	0		
	3603	flap labial-palatal	0	0	0	0		
	3604	flap labial-velar	0	0	0	0		
	3605	flap dental	0	0	0	0		
	3606	flap alveolar	0	0	0	0		
	3607	flap postalveolar	0	0	0	0		
	3608	flap retroflex	0	0	0	0		
	3609	flap palatal	0	0	0	0		
	3610	flap velar	0	0	0	0		
	3611	flap velar-alveolar	0	0	0	0		
	3612	flap uvular	0	0	0	0		
	3613	flap pharyngeal	0	0	0	0		
	3614	flap epiglottal	0	0	0	0		
	3615	flap glottal	0	0	0	0		
	3616	flap laryngeal	0	0	0	0		
	3650	flap aspirated	0	0	0	0		
	3651	flap breathy-voiced	0	0	0	0		
	3652	flap creaky-voiced	0	0	0	0		
