									
	Numero	Nom	Code	APICodeEntier	CaractHex	Ajouter sous Excel	Caracteristique	APICode	CodeBase
	29	SANGIRIC	1001	177	0045	E	himid central unrnd vowel	´	20
	30	SANGIRIC	1001	258	0052	R	vd uvular trill	R	20
	31	SANGIRIC	1001	301	0061	a	low central unrnd perif vowel	a	20
	32	SANGIRIC	1001	350	0062	b	vd bilabial stp	b	20
	33	SANGIRIC	1001	374	0064	d	vd alveolar stp	d	20
	34	SANGIRIC	1001	420	0065	e	himid front unrnd perif vowel	e	20
	35	SANGIRIC	1001	439	0067	g	vd velar stp	g	20
	36	SANGIRIC	1001	534	0069	i	high front unrnd perif vowel	i	20
	37	SANGIRIC	1001	570	006A	j	vd palatal approxi	j	20
	38	SANGIRIC	1001	575	006B	k	vl velar stp	k	20
	39	SANGIRIC	1001	600	006C	l	vd alveolar laterapprox	l	20
	40	SANGIRIC	1001	623	006D	m	vd bilabial nasal	m	20
	41	SANGIRIC	1001	637	006E	n	vd alveolar nasal	n	20
	42	SANGIRIC	1001	224	014B	ŋ	vd velar nasal	N	20
	43	SANGIRIC	1001	693	006F	o	himid back rounded perif vowel	o	20
	44	SANGIRIC	1001	723	0070	p	vl bilabial stp	p	20
	45	SANGIRIC	1001	786	0073	s	vl alveolar sib fricative	s	20
	46	SANGIRIC	1001	799	0074	t	vl alveolar stp	t	20
	47	SANGIRIC	1001	855	0075	u	high back rounded perif vowel	u	20
	48	SANGIRIC	1001	894	0077	w	vd labvel approxi	w	20
	49	POLYNESIAN	1002	173	003F	?	vl glottal stp	/	20
	50	POLYNESIAN	1002	301	0061	a	low central unrnd perif vowel	a	20
	51	POLYNESIAN	1002	420	0065	e	himid front unrnd perif vowel	e	20
	52	POLYNESIAN	1002	434	0066	f	vl labdent fricative	f	20
	53	POLYNESIAN	1002	474	0068	h	vl glottal fricative	h	20
	54	POLYNESIAN	1002	534	0069	i	high front unrnd perif vowel	i	20
	55	POLYNESIAN	1002	575	006B	k	vl velar stp	k	20
	56	POLYNESIAN	1002	600	006C	l	vd alveolar laterapprox	l	20
	57	POLYNESIAN	1002	623	006D	m	vd bilabial nasal	m	20
	58	POLYNESIAN	1002	637	006E	n	vd alveolar nasal	n	20
	59	POLYNESIAN	1002	224	014B	ŋ	vd velar nasal	N	20
	60	POLYNESIAN	1002	693	006F	o	himid back rounded perif vowel	o	20
	61	POLYNESIAN	1002	723	0070	p	vl bilabial stp	p	20
	62	POLYNESIAN	1002	763	0072	r	vd alveolar trill	r	20
	63	POLYNESIAN	1002	786	0073	s	vl alveolar sib fricative	s	20
	64	POLYNESIAN	1002	799	0074	t	vl alveolar stp	t	20
	65	POLYNESIAN	1002	855	0075	u	high back rounded perif vowel	u	20
	66	POLYNESIAN	1002	894	0077	w	vd labvel approxi	w	20
	67	PROTO-LAKKIA	1003	173	003F	?	vl glottal stp	/	20
	68	PROTO-LAKKIA	1003	177	0045	E	himid central unrnd vowel	´	20
	69	PROTO-LAKKIA	1003	196	00E8	è	lomid front unrnd perif vowel	E	20
	70	PROTO-LAKKIA	1003	198	00E825BA	è►	long lomid front unrnd perif vowel	E…	20
	71	PROTO-LAKKIA	1003	239	004F	O	lomid back rounded perif vowel	O	20
	72	PROTO-LAKKIA	1003	241	004F25BA	O►	long lomid back rounded perif vowel	O…	20
