							
	Nom	Famille	Code	NbSegment	Selecte	Selecte1	CodeBase
	IRAQW	Afro-Asiatic, Cushitic	4360	45	FALSE	FALSE	10
	IRARUTU	Austro-Tai, Austronesian, East-Malayo-Polynesian	2440	19	FALSE	FALSE	10
	IRISH	Indo-European, Celtic, Goidelic	2001	69	FALSE	FALSE	10
	ISLAND CARIB	South-American, Macro-Arawakan	6823	27	FALSE	FALSE	10
	ISOKO	Niger-Kordofanian, Kwa	4147	37	FALSE	FALSE	10
	ITELMEN	Chukchi-Kamchatkan	2710	32	FALSE	FALSE	10
	ITONAMA	South-American, Paezan	6800	25	FALSE	FALSE	10
	IVATAN	Austro-Tai, Austronesian, West-Malayo-Polynesian	2428	23	FALSE	FALSE	10
	IWAM	Papuan, Sepik-Ramu	8605	17	FALSE	FALSE	10
	JACALTEC	North-American, Penutian	6780	32	FALSE	FALSE	10
	JAPANESE	Ural-Altaic, Japanese	2171	20	FALSE	FALSE	10
	JAPRERIA	South-American, Macro-Carib	6848	24	FALSE	FALSE	10
	JAQARU	South-American, Andean	6820	39	FALSE	FALSE	10
	JAVANESE	Austro-Tai, Austronesian, West-Malayo-Polynesian	2409	29	FALSE	FALSE	10
	JEBERO	South-American, Andean	6844	23	FALSE	FALSE	10
	JINGPHO	Sino-Tibetan, Kachin	2511	30	FALSE	FALSE	10
	JIVARO	South-American, Equatorial	6835	23	FALSE	FALSE	10
	JOMANG	Niger-Kordofanian, Kordofanian	4142	21	FALSE	FALSE	10
	K EKCHI	North-American, Penutian	6714	26	FALSE	FALSE	10
	KABARDIAN	Caucasian	2601	56	FALSE	FALSE	10
	KADUGLI	Niger-Kordofanian, Kordofanian	4102	27	FALSE	FALSE	10
	KAINGANG	South-American, Macro-Ge	6808	27	FALSE	FALSE	10
	KALA LAGAW YA	Australian, Pama-Nyungan	8365	24	FALSE	FALSE	10
	KALIAI	Austro-Tai, Austronesian, East-Malayo-Polynesian	2421	21	FALSE	FALSE	10
	KALKATUNGU	Australian, Pama-Nyungan	8369	23	FALSE	FALSE	10
	KAM	Austro-Tai, Li-Kam-Tai	2404	27	FALSE	FALSE	10
	KANAKURU	Afro-Asiatic, Chadic	4370	35	FALSE	FALSE	10
	KANURI	Nilo-Saharan, Saharan	4201	29	FALSE	FALSE	10
	KAREN	Sino-Tibetan, Karenic	2516	36	FALSE	FALSE	10
	KAROK	North-American, Hokan	6741	27	FALSE	FALSE	10
	KARTVELIAN	Caucasian	1052	46	FALSE	FALSE	20
	KASHMIRI	Indo-European, Indic	2018	55	FALSE	FALSE	10
	KATUIC	Austro-Asiatic, Katuic	1058	36	FALSE	FALSE	22
	KAWAIISU	North-American, Uto-Aztecan	6763	31	FALSE	FALSE	10
	KEFA	Afro-Asiatic, Omotic	4364	27	FALSE	FALSE	10
	KERA	Afro-Asiatic, Chadic	4371	30	FALSE	FALSE	10
	KERESAN	North-American, Keresiouan	1109	49	FALSE	FALSE	20
	KET	Isolates, Ket	2706	25	FALSE	FALSE	10
	KEWA	Papuan, Trans-New-Guinea	8610	20	FALSE	FALSE	10
	KHALKHA	Ural-Altaic, Mongolian	2166	33	FALSE	FALSE	10
	KHANTY	Ural-Altaic, Finno-Ugric, Ugric	2150	32	FALSE	FALSE	10
	KHARIA	Austro-Asiatic, Munda	2301	36	FALSE	FALSE	10
	KHASI	Austro-Asiatic, Khasi	2302	29	FALSE	FALSE	10
	KHMER	Austro-Asiatic, Khmer	2306	42	FALSE	FALSE	10
	KHMU?	Austro-Asiatic, Palaungic	2312	41	FALSE	FALSE	10
	KIMBE	Austro-Tai, Austronesian, East-Malayo-Polynesian	1039	19	FALSE	FALSE	20
	KIOWA	North-American, Kiowa-Tanoan	6785	42	FALSE	FALSE	10
	KIRGHIZ	Ural-Altaic, Turkic	2162	30	FALSE	FALSE	10
	KLAMATH	North-American, Penutian	6707	37	FALSE	FALSE	10
	KLAO	Niger-Kordofanian, Kru	4133	27	FALSE	FALSE	10
	KOHUMONO	Niger-Kordofanian, Cross-River	4136	38	FALSE	FALSE	10
	KOIARI	Papuan, Trans-New-Guinea	8622	16	FALSE	FALSE	10
