Nom	Famille	Code	NbSegment	Selecte	Selecte1	CodeBase
"OLD TELUGU"	"Dravidian, Dravidian"	1011	33	0	0	20
"ONGAMO MAA"	"Nilo-Saharan, East-Sudanic, Nilotic"	1043	29	0	0	20
OTO-MANGUEAN	"North-American, Oto-Manguean"	1096	11	0	0	20
OTOMI	"North-American, Oto-Manguean"	1073	30	0	0	20
PAMAN	"Australian, Pama-Nyungan"	1100	19	0	0	20
PHILIPPINE	"Austro-Tai, Austronesian, West-Malayo-Polynesian"	1022	24	0	0	20
PLANG	"Austro-Asiatic, Khmer"	1017	40	0	0	20
POLYNESIAN	"Austro-Tai, Austronesian, East-Malayo-Polynesian"	1002	18	0	0	20
POPOLOCAN	"North-American, Oto-Manguean"	1071	22	0	0	20
"PRE BASQUE"	Isolates	1000	27	0	0	20
"PRE NIZAA"	"Niger-Kordofanian, Bantoid"	1102	33	0	0	20
PROTO-AINU	"Ural-Altaic, Ainu"	1035	31	0	0	20
PROTO-JAPANESE	"Ural-Altaic, Japanese"	1101	4	0	0	21
PROTO-KAREN	"Sino-Tibetan, Karenic"	1013	29	0	0	20
PROTO-LAKKIA	"Austro-Tai, Li-Kam-Tai"	1003	66	0	0	20
PROTO-MABA	"Nilo-Saharan, Maban"	1023	21	0	0	22
PROTO-NUBIAN	"Nilo-Saharan, East-Sudanic"	1044	26	0	0	20
PROTO-POMO	"North-American, Hokan"	1115	40	0	0	20
PROTO-VIETNAMESE	"Austro-Asiatic, Vietmuong"	1105	28	0	0	22
QUICHEAN	"North-American, Penutian"	1010	34	0	0	20
SABAKI	"Niger-Kordofanian, Bantoid"	1019	35	0	0	20
SALISH	"North-American, Almosan"	1098	48	0	0	20
SAMOYED	"Ural-Altaic, Samoyed"	1085	25	0	0	20
SANGIRIC	"Austro-Tai, Austronesian, West-Malayo-Polynesian"	1001	21	0	0	20
"SARA BONGO BAGUIRMIAN"	"Nilo-Saharan, Central-Sudanic"	1092	33	0	0	22
SEMITIC	"Afro-Asiatic, Semitic"	1080	35	0	0	20
SUMERIAN	Isolates	1054	26	0	0	20
TAI	"Austro-Tai, Li-Kam-Tai"	1067	49	0	0	20
TAKANAN	"South-American, Macro-Panoan"	1064	21	0	0	20
"TANO CONGO"	"Niger-Kordofanian, Kwa"	1009	14	0	0	21
TOTONOCAN	"North-American, Penutian"	1079	23	0	0	20
TUCANOAN	"South-American, Macro-Tucanoan"	1117	33	0	0	20
TUPI-GUARANI	"South-American, Equatorial"	1119	25	0	0	20
URALIC	"Ural-Altaic, Uralic"	1084	25	0	0	20
URALO-SIBERIAN	"Macro-Macro-Family, Uralo-Siberian"	1114	29	0	0	20
UTO-AZTECAN	"North-American, Uto-Aztecan"	1069	17	0	0	20
"WEST TARIKU"	"Papuan, Geelvink-Bay"	1032	12	0	0	20
YOKUTS	"North-American, Penutian"	1008	39	0	0	20
ZAPOTECAN	"North-American, Oto-Manguean"	1076	20	0	0	20
ZOQUEAN	"North-American, Penutian"	1078	20	0	0	20
