BdprotoID,LanguageName,SourceLanguageName,LanguageFamily,LanguageFamilyRoot,Glottocode,FamilyID,Type,Macroarea,Dates,DatesSource,InventoryType,TimeDepth,TimeDepthYBP,HomelandLatitude,HomelandLongitude,HomelandSource,HomelandComments,BibtexKey,Source,Comments
71,Proto-Berber,Proto-Berber,Berber,Afro-Asiatic,berb1260,afro1255,Reconstructed,Africa,,,consonants only,,,,,,,KoosmannPC2018,HUJI,
72,Proto-Skou,Proto-Skou,Skou-Serra-Piore,Sko,nucl1634,skoo1245,Reconstructed,Papunesia,,,all,,,,,,,Donohue2002,HUJI,
73,Common Slavic,Common Slavic,Balto-Slavic,Indo-European,slav1255,indo1319,Reconstructed,Eurasia,1700-1000,,all,,,,,,,Hock2003a,HUJI,
75,Proto-Cherokee,Common Cherokee,Iroquoian,Iroquoian,cher1273,iroq1247,Reconstructed,North America,5-4.5K,,all,,,,,,,Julian2010,HUJI,GC based on Glottocode
76,Proto-Northern Iroquoian,Proto-Northern Iroquoian,Northern Iroquoian,Iroquoian,nort2947,iroq1247,Reconstructed,North America,5-4.5K,,all,,,,,,,Julian2010,HUJI,
77,Proto-Tuscarora-Nottoway,Proto-Tuscarora-Nottoway,Northern Iroquoian,Iroquoian,tusc1256,iroq1247,Reconstructed,North America,2.5-2K,,all,,,,,,,Julian2010,HUJI,
78,Proto-Tuscarora,Common Tuscarora,Cherokee,Iroquoian,tusc1257,iroq1247,Reconstructed,North America,,,all,,,,,,,Julian2010,HUJI,
79,Proto-Mohawk-Oneida,Proto-Mohawk-Oneida,Northern Iroquoian,Iroquoian,moha1257,iroq1247,Reconstructed,North America,1K-0.5K,,all,,,,,,,Julian2010,HUJI,
80,Proto-Mohawk,Common Mohawk,Iroquoian,Iroquoian,moha1258,iroq1247,Reconstructed,North America,,,all,,,,,,,Julian2010,HUJI,
82,Proto-Finno-Saamic,Proto-Finno-Saamic,Uralic,Uralic,NA,ural1272,Reconstructed,Eurasia,,,all,,,,,,,sammallahti1988,HUJI,
83,Proto-Siouan,Proto-Siouan,Siouan,Siouan,siou1252,siou1252,Reconstructed,North America,,,all,,4000,35.5,-80.5,Wichmann_etal2010,,RankinEtAl2015,HUJI,
84,Proto-Finno-Permic,Proto-Finno-Permic,Uralic,Uralic,NA,ural1272,Reconstructed,Eurasia,,,all,,,,,,,sammallahti1988,HUJI,
85,Proto-Kiowa-Tanoan,Proto-Tanoan,Kiowa-Tanoan,Kiowa-Tanoan,kiow1266,kiow1265,Reconstructed,North America,,,consonants only,,,,,,,"Hale1967,Sutton2014",HUJI,
86,Proto-Pama-Nyungan,Proto-Pama-Nyungan,Pama-Nyungan,Pama-Nyungan,pama1250,pama1250,Reconstructed,Australia,"""This reveals clear support for a home- land at the base of the Gulf of Carpentaria, with an estimated age of 4,455–6,966 years (95% highest posterior density; mean = 5,671 years).""",Bouckaert_etal2018,consonants only,,,,,,,Alpher2004,HUJI,
87,Proto-Baltic-Finnic,Proto-Baltic-Finnic,Finnic,Uralic,NA,ural1272,Reconstructed,Eurasia,,,all,,,,,,,kuemmel2007,HUJI,
90,Proto-Waikuruan (Guaicuruan),Proto-Waikuruan (Guaicuruan),Waikuruan (Guaicuruan),Waikuruan (Guaicuruan),guai1249,guai1249,Reconstructed,South America,,,all,,,-26.5,-59,Wichmann_etal2010,,sandalo1995,HUJI,
91,Proto-Salishan,Proto-Salishan,Salishan,Salishan,sali1255,sali1255,Reconstructed,North America,,,consonants only,,,48.75,-123.25,Wichmann_etal2010,,Campbell1997,HUJI,Based on Thomspon1979 (Campbell1997:116)
92,Proto-Khoe,Proto-Khoe,Khoe ,Khoe-Kwadi,khoe1241,khoe1240,Reconstructed,Africa,,,consonants only,2000,2000,,,,northeast Kalahari basin,"Vossen1997,GueldemannElderkin2010",HUJI,
94,Proto-Permian,Proto-Permic,Permian,Uralic,perm1256,ural1272,Reconstructed,Eurasia,,,all,,,,,,,sammallahti1988,HUJI,
