BdprotoID,LanguageName,Glottocode,Duplicate,Notes
147,Proto-Munda,mund1335,FALSE,
148,Proto-Nilo-Saharan,,FALSE,
150,Proto-Kimbe,,FALSE,
151,Proto-Nakanai,,FALSE,
152,Proto-Willaumez,,FALSE,
153,Old Egyptian,egyp1246,FALSE,
154,Proto-Egyptian,,FALSE,
155,Proto-Palaihnihan,,FALSE,
156,Proto-Bungku-Tolaki,,FALSE,
157,Proto-Kanyara,,FALSE,
158,Proto-Iwaidjan,,FALSE,
159,Proto-Nyulnyulan,,FALSE,
160,Proto-Northwest Semitic,,FALSE,
161,Proto-Eastern-Oceanic,,FALSE,
162,Proto-Koman,koma1264,FALSE,
163,Proto-Zapotec,zapo1436,TRUE,
164,Proto Bora-Muinane,bora1263,FALSE,
165,Proto-Irish,,FALSE,
166,Proto-Gunwinyguan,gunw1250,FALSE,
1000,PRE BASQUE,basq1248,FALSE,
1001,SANGIRIC,sang1335,FALSE,
1002,POLYNESIAN,poly1242,FALSE,
1003,PROTO-LAKKIA,lakk1238,FALSE,
1004,MALAYO POLYNESIAN,mala1545,FALSE,
1006,OLD CHINESE,oldc1244,FALSE,
1007,ESKIMO,eski1265,TRUE,
1008,YOKUTS,yoku1255,TRUE,
1009,TANO CONGO,poto1254,FALSE,
1010,QUICHEAN,grea1276,FALSE,
1011,OLD TELUGU,oldt1249,FALSE,
1012,DRAVIDIAN,drav1251,FALSE,
1013,PROTO-KAREN,kare1337,FALSE,
1014,LOWER CROSS,obo11242,FALSE,
1015,IJO,ijoi1239,FALSE,
1017,PLANG,blan1242,FALSE,
1018,ANATOLIAN,anat1257,TRUE,
1019,SABAKI,coas1317,FALSE,
1020,MON,moni1258,FALSE,
1021,NEW CALEDONIAN,newc1243,FALSE,
1022,PHILIPPINE,grea1284,FALSE,
1023,PROTO-MABA,maba1274,FALSE,
1025,MANDEKAN,mand1469,TRUE,
1026,HUON GULF,huon1245,FALSE,
1027,MARKHAM,mark1257,FALSE,
1028,LAKES PLAIN,lake1255,FALSE,
1031,EAST TARIKU,east2502,FALSE,
1032,WEST TARIKU,west2582,FALSE,
1035,PROTO-AINU,ainu1240,FALSE,
1037,MANDE,mand1469,TRUE,
1038,CENTRAL GUR,cent2243,FALSE,
1039,KIMBE,west2818,FALSE,
1041,AUSTRONESIAN,aust1307,FALSE,
1043,ONGAMO MAA,onga1238,FALSE,
1044,PROTO-NUBIAN,nubi1251,FALSE,
1045,COMMON NORDIC,nort3160,FALSE,
1046,GERMANIC,germ1287,TRUE,
1049,MIDDLE ENGLISH,midd1317,FALSE,
1051,INDO-EUROPEAN,indo1319,TRUE,
1052,KARTVELIAN,kart1248,TRUE,
1053,ALTAIC,NA,FALSE,
1054,SUMERIAN,sume1241,TRUE,
1055,NOSTRATIC,NA,FALSE,
1056,CENTRAL-KHOISAN,khoe1241,TRUE,
