BdprotoID	LanguageName	GlottologID	GlottologNotes	LanguageFamilyRoot	Family	Classification	TimeDepthInventorySource	TimeDepthDateSource	TimeDepth	"Homeland Data"	Url	FileName	Notes	NotesPatrick	InventorySource	DateSource	HomelandSource
1052	KARTVELIAN	kart1248		cauc	Caucasian	Caucasian		-5000	-5000		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1052	LG1052.txt		"p.804 fn 28"	bomhard1990	gamkrelidze1995indo	
1058	KATOUIQUE	katu1271		auth	Austro-Tai	"Austro-Tai, Katuic"			NA		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1058	LG1058.txt		"ask P. Sidwell"	diffloth1982		
1109	KERESAN	kere1287		otma	North-American	"North-American, Keresiouan"			NA		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1109	LG1109.txt			miller1963		
1039	KIMBE	west2818	check	auth	Austro-Tai	"Austro-Tai, Austronesian, East-Malayo-Polynesian"			-1000		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1039	LG1039.txt		"no squib"	johnston1982		
1028	"LAKES PLAIN"	lake1255		papt	Papuan	"Papuan, Geelvink-Bay"	"p.125: some 3000 years ago"		-3000		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1028	LG1028.txt			clouse1996		
1066	LAPP	saam1281		urlc	Ural-Altaic	"Ural-Altaic, Finno-Ugric"	"1000 BC"		-3000		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1066	LG1066.txt			korhonen1988		
1047	"LATE PROTO NORSE"	oldn1244	check	ieur	Indo-European	"Indo-European, Germanic, North"			-1200		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1047	LG1047.txt			antonsen1963		
1082	"LOLO BURMESE"	lolo1265		tbur	Sino-Tibetan	"Sino-Tibetan, Lolo-Burmese"			NA		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1082	LG1082.txt			matisoff1979		
1014	"LOWER CROSS"	obo11242		nkrd	Niger-Kordofanian	"Niger-Kordofanian, Cross-River"			NA		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1014	LG1014.txt			connell1995		
1063	"LOWER SEPIK"	lowe1437		papt	Papuan	"Papuan, Sepik-Ramu"		-6000	-6000		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1063	LG1063.txt			foley1986	http://en.wikipedia.org/wiki/Ramu%E2%80%93Lower_Sepik_languages	
1042	MAA	onga1238		nsah	Nilo-Saharan	"Nilo-Saharan, East-Sudanic, Nilotic"			NA		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1042	LG1042.txt			vossen1989		
1108	MAIDUN	maid1262		calp	North-American	"North-American, Penutian"			NA		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1108	LG1108.txt			ultan1964		
1004	"MALAYO POLYNESIAN"	mala1545		auth	Austro-Tai	"Austro-Tai, Austronesian"	"-4000 BC"		-6000		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1004	LG1004.txt			hogan1993		
1037	MANDE	mand1469		nkrd	Niger-Kordofanian	"Niger-Kordofanian, Mande"			NA		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1037	LG1037.txt	"Very outdated and incorrect (Vydrin, pc)"		dwyer1989		
1025	MANDEKAN	mand1433	check	nkrd	Niger-Kordofanian	"Niger-Kordofanian, Mande"			NA		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1025	LG1025.txt			bimson1976		
1027	MARKHAM	mark1257		auth	Austro-Tai	"Austro-Tai, Austronesian, East-Malayo-Polynesian"			NA		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1027	LG1027.txt			holzknecht1989		
1057	MAYAN	maya1287		calp	North-American	"North-American, Penutian"	"2200 BC"		-4200		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1057	LG1057.txt			campbell1990		
1107	MICRONESIAN	micr1243		auth	Austro-Tai	"Austro-Tai, Austronesian, East-Malayo-Polynesian"			NA	"Archeological evidence about the provenance of Micronesian speakers is vague, but it suggests they came from the south (i.e. From the Solomons, Vanuatu or the Fiji/west polynesian region. [...] It seems that most of Micronesia was settled about two thousand years ago."	http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1107	LG1107.txt		"no squib"	bender1985		
1049	"MIDDLE ENGLISH"	midd1317		ieur	Indo-European	"Indo-European, Germanic, West"		-900	-900		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1049	LG1049.txt		"Check alternative source"	antonsen1961	baugh1993history	
1070	MIXTECAN	mixt1422		otma	North-American	"North-American, Oto-Manguean"	-1000		-1000		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1070	LG1070.txt			longacre1967		
1020	MON	moni1258		ausa	Austro-Asiatic	"Austro-Asiatic, Mon"			-1500		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1020	LG1020.txt	"Error in TimeDepth in original BDPROTO source"		ferlus1983	sidwell2014austroasiatic	
1021	"NEW CALEDONIAN"	newc1243		auth	Austro-Tai	"Austro-Tai, Austronesian, East-Malayo-Polynesian"			NA		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1021	LG1021.txt			ozanne1992		
1087	"NORTH SAMOYED"	samo1298	check	urlc	Ural-Altaic	"Ural-Altaic, Samoyed"			NA		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1087	LG1087.txt			sammallahti1988		
1055	NOSTRATIC	NULL	check		Macro-Family	Macro-Family		"""spoken between 15,000 and 12,000 BCE"""	-14000		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1055	LG1055.txt	"Need to do something about LanguageFamilyRoot"		bomhard1990	bomhard2008reconstructing	
1089	"OB UGRIC"	khan1273	check	urlc	Ural-Altaic	"Ural-Altaic, Finno-Ugric"	"500 AD"	"""first half of the second millenium BCE)"	-3500		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1089	LG1089.txt			sammallahti1988		
1040	OCEANIC	ocea1241		auth	Austro-Tai	"Austro-Tai, Austronesian, East-Malayo-Polynesian"	"2000 BC"		-4000		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1040	LG1040.txt		"no squib"	ross1988		
1006	"OLD CHINESE"	oldc1244		tbur	Sino-Tibetan	"Sino-Tibetan, Sinitic"	"800-500 BC"		-2500		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1006	LG1006.txt			hogan1993		
1011	"OLD TELUGU"	telu1262	check	drav	Dravidian	"Dravidian, Dravidian"		"split from proto-Dravidian between 1500-1000 BC"	-3000		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1011	LG1011.txt		"no squib"	krishnamurti1961	https://lists.hcs.harvard.edu/mailman/listinfo/proto-dravidian	
1043	"ONGAMO MAA"	onga1238		nsah	Nilo-Saharan	"Nilo-Saharan, East-Sudanic, Nilotic"			NA		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1043	LG1043.txt		"wrong glottocode? > ngas1238"	vossen1989		
1096	OTOMANGUEAN	otom1299		otma	North-American	"North-American, Oto-Manguean"		"splitting date of Proto-Otomanguean at ca. 4400 BCE"	-6400	"Tehuacan valley"	http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1096	LG1096.txt		"no squib"	rensch1966		"American Indian Languages: The Historical Linguistics of Native America (Oxford Studies in Anthropological Linguistics, 4)"
1073	OTOMI	otom1300		otma	North-American	"North-American, Oto-Manguean"			NA		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1073	LG1073.txt			longacre1967		
1074	"OTOMI MAZAHUA"	otom1297	check	otma	North-American	"North-American, Oto-Manguean"			NA		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1074	LG1074.txt			longacre1967		
1075	"OTOMI PAME"	otop1242		otma	North-American	"North-American, Oto-Manguean"			NA		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1075	LG1075.txt			longacre1967		
1100	PAMAN	pama1250		aust	Australian	"Australian, Pama-Nyungan"			NA		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1100	LG1100.txt		"no squib"	sommer1976		
1091	PERMIC	perm1256		urlc	Ural-Altaic	"Ural-Altaic, Finno-Ugric"		"separation from finno-ugrian group about 2000 bce"	-4000	"Area of Kama and Viatka rivers"	http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1091	LG1091.txt			sammallahti1988		riese1998uralic
1022	PHILIPPINE	grea1284		auth	Austro-Tai	"Austro-Tai, Austronesian, West-Malayo-Polynesian"			NA	"presence of Austronesian speakers in northeastern Indonesia for upwards of 4,000 years"	http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1022	LG1022.txt			blust1991		
1017	PLANG	blan1242		ausa	Austro-Asiatic	"Austro-Asiatic, Khmer"			-600		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1017	LG1017.txt	"In GL, Plang is does not belong to Khmer"		paulsen1989	sidwell2014austroasiatic	
1002	POLYNESIAN	poly1242		auth	Austro-Tai	"Austro-Tai, Austronesian, East-Malayo-Polynesian"		"some time around 1000 B.C."	-3000	"one of the island groups east or north-east of Fiji"	http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1002	LG1002.txt			walsh1966	tryon1995comparative	
1071	POPOLOCAN	popo1293		otma	North-American	"North-American, Oto-Manguean"			NA		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1071	LG1071.txt			longacre1967		
1050	"PRE ANGLIAN OLD ENGLISH"	angl1265	check	ieur	Indo-European	"Indo-European, Germanic, West"			-1800		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1050	LG1050.txt			antonsen1961	antonsen2002runes	
1000	"PRE BASQUE"	basq1248		basq	Isolates	"Isolates, Basque"	-2000		-2000		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1000	LG1000.txt			trask2013		
1102	"PRE NIZAA"	suga1248		nkrd	Niger-Kordofanian	"Niger-Kordofanian, Bantoid"			NA		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1102	LG1102.txt			theil1991		
1024	"PRE NORMAN PAMA"	pama1250		aust	Australian	"Australian, Pama-Nyungan"			NA		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1024	LG1024.txt		"no squib"	black1980		
1035	PROTO-AINU	ainu1240		urlc	Ural-Altaic	"Ural-Altaic, Ainu"			NA		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1035	LG1035.txt		"no squib"	vovin1993		
1016	PROTO-HAUSA	haus1257		afas	Afro-Asiatic	"Afro-Asiatic, Chadic"			NA		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1016	LG1016.txt			newman1979historical		
1101	PROTO-JAPANESE	nucl1643		urlc	Ural-Altaic	"Ural-Altaic, Japanese"		"400 B.C."	-2400	"northern Kyushu"	http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1101	LG1101.txt		"no squib"	martin1987	hudson1994japan	hudson1994japan
1013	PROTO-KAREN	kare1337		tbur	Sino-Tibetan	"Sino-Tibetan, Karenic"			NA		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1013	LG1013.txt			jones1961		
1003	PROTO-LAKKIA	lakk1238		auth	Austro-Tai	"Austro-Tai, Li-Kam-Tai"			NA		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1003	LG1003.txt			theraphan1991		
1023	PROTO-MABA	maba1274		nsah	Nilo-Saharan	"Nilo-Saharan, Maban"			NA		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1023	LG1023.txt			edgar1991		
